Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y
1.00,-0.61,-0.96,-0.68,-0.96,-0.51,-3.12,0.54,1
1.00,-0.59,-1.19,-0.71,-0.92,-0.62,-1.23,0.25,1
1.00,-0.65,-1.04,-0.50,-1.14,-0.41,-2.59,0.22,1
1.00,-0.69,-1.02,-0.71,-1.07,-0.61,-2.19,0.56,1
1.00,-0.61,-1.08,-0.71,-1.12,-0.69,-3.71,0.20,1
1.00,-0.62,-1.00,-0.55,-0.99,-0.71,-1.88,-0.14,1
1.00,-0.75,-1.06,-0.72,-0.98,-0.41,-2.46,0.84,1
1.00,-0.53,-0.90,-0.64,-0.98,-0.67,-4.50,0.12,1
1.00,-0.51,-1.05,-0.42,-0.94,-0.61,-2.48,-0.03,1
1.00,-0.54,-0.88,-0.51,-1.18,-0.47,-2.92,0.91,1
1.00,-0.70,-0.91,-0.73,-1.10,-0.54,-1.53,0.59,1
1.00,-0.71,-1.07,-0.59,-1.03,-0.54,-2.12,1.04,1
1.00,-0.71,-1.16,-0.77,-0.95,-0.55,-2.26,-0.04,1
1.00,-0.77,-0.91,-0.46,-1.07,-0.50,-0.91,0.39,1
1.00,-0.40,-0.86,-0.76,-0.92,-0.43,-2.84,0.89,1
1.00,-0.59,-1.13,-0.73,-1.08,-0.68,-4.05,0.46,1
1.00,-0.57,-1.05,-0.76,-1.08,-0.79,-1.42,0.13,1
1.00,-0.67,-0.90,-0.68,-0.88,-0.74,-1.32,1.14,1
1.00,-0.59,-1.05,-0.75,-1.15,-0.77,-3.83,0.86,1
1.00,-0.65,-1.15,-0.62,-0.97,-0.57,-2.86,0.13,1
1.00,-0.67,-0.99,-0.40,-0.85,-0.75,-3.85,0.76,1
1.00,-0.68,-0.86,-0.49,-1.18,-0.47,-1.89,0.21,1
1.00,-0.69,-0.97,-0.42,-1.08,-0.54,-3.72,1.29,1
1.00,-0.54,-1.04,-0.78,-0.96,-0.49,-3.14,0.66,1
1.00,-0.71,-1.12,-0.64,-1.03,-0.55,-4.01,0.57,1
1.00,-0.79,-1.11,-0.40,-1.09,-0.66,-0.94,1.27,1
1.00,-0.71,-0.96,-0.52,-0.89,-0.79,-1.50,0.15,1
1.00,-0.65,-0.97,-0.60,-1.06,-0.46,-1.95,-0.07,1
1.00,-0.48,-1.14,-0.75,-1.13,-0.49,-3.23,0.05,1
1.00,-0.51,-1.04,-0.55,-0.95,-0.76,-1.26,0.59,1
1.00,-0.60,-1.06,-0.51,-1.16,-0.73,-2.99,0.44,1
1.00,-0.66,-0.86,-0.62,-1.13,-0.57,-1.89,0.78,1
1.00,-0.60,-1.06,-0.74,-1.16,-0.57,-1.80,0.80,1
1.00,-0.65,-0.88,-0.70,-0.88,-0.49,-3.19,0.41,1
1.00,-0.79,-1.06,-0.45,-1.17,-0.58,-2.50,0.38,1
1.00,-0.51,-0.89,-0.75,-0.92,-0.71,-0.82,0.09,1
1.00,-0.68,-0.92,-0.49,-0.91,-0.73,-1.72,0.00,1
1.00,-0.52,-0.89,-0.46,-1.18,-0.68,-1.07,0.25,1
1.00,-0.75,-0.93,-0.74,-0.98,-0.44,-4.28,1.00,1
1.00,-0.44,-1.20,-0.74,-1.19,-0.79,-1.38,-0.08,1
1.00,-0.57,-1.16,-0.66,-0.92,-0.41,-3.65,1.15,1
1.00,-0.41,-1.02,-0.78,-1.02,-0.46,-0.82,1.18,1
1.00,-0.44,-0.99,-0.44,-1.16,-0.56,-4.50,0.37,1
1.00,-0.51,-1.08,-0.64,-0.88,-0.43,-1.18,1.25,1
1.00,-0.65,-0.87,-0.78,-0.94,-0.75,-2.24,1.02,1
1.00,-0.52,-1.07,-0.56,-1.10,-0.45,-3.00,0.10,1
1.00,-0.61,-0.91,-0.45,-0.95,-0.66,-2.46,0.44,1
1.00,-0.59,-1.15,-0.42,-1.09,-0.67,-4.13,0.97,1
1.00,-0.63,-1.10,-0.63,-0.99,-0.47,-3.30,0.85,1
1.00,-0.70,-1.13,-0.40,-1.04,-0.60,-1.83,0.01,1
1.00,-0.74,-1.03,-0.59,-0.96,-0.63,-3.46,0.33,1
1.00,-0.42,-1.16,-0.69,-0.92,-0.65,-2.47,1.27,1
1.00,-0.70,-0.92,-0.77,-1.07,-0.72,-4.50,0.81,1
1.00,-0.56,-1.00,-0.44,-0.90,-0.55,-2.10,0.11,1
1.00,-0.75,-0.99,-0.66,-1.08,-0.46,-1.94,0.72,1
1.00,-0.50,-0.90,-0.77,-1.02,-0.64,-1.83,1.26,1
1.00,-0.76,-1.07,-0.71,-1.09,-0.75,-0.90,0.32,1
1.00,-0.68,-0.87,-0.68,-1.18,-0.49,-1.63,0.70,1
1.00,-0.74,-0.94,-0.75,-1.03,-0.58,-2.06,0.30,1
1.00,-0.66,-0.92,-0.59,-1.07,-0.42,-3.12,0.46,1
1.00,-0.65,-1.10,-0.58,-1.13,-0.52,-2.91,0.84,1
1.00,-0.51,-1.00,-0.47,-1.18,-0.43,-3.80,0.91,1
1.00,-0.45,-1.07,-0.51,-1.19,-0.65,-4.31,-0.08,1
1.00,-0.58,-1.02,-0.44,-0.97,-0.63,-2.54,0.64,1
1.00,-0.41,-0.88,-0.74,-0.99,-0.79,-0.90,0.19,1
1.00,-0.59,-1.07,-0.43,-1.17,-0.58,-2.61,0.63,1
1.00,-0.49,-1.09,-0.79,-0.86,-0.45,-3.97,0.51,1
1.00,-0.63,-1.19,-0.45,-0.90,-0.63,-3.63,0.65,1
1.00,-0.61,-1.15,-0.61,-0.96,-0.64,-3.75,0.86,1
1.00,-0.76,-1.17,-0.52,-0.93,-0.63,-2.14,0.99,1
1.00,-0.55,-0.86,-0.49,-1.16,-0.44,-0.99,0.73,1
1.00,-0.80,-0.98,-0.51,-1.07,-0.41,-4.35,1.27,1
1.00,-0.79,-1.03,-0.50,-0.97,-0.77,-4.24,0.19,1
1.00,-0.70,-0.98,-0.65,-0.91,-0.46,-1.73,1.16,1
1.00,-0.58,-1.18,-0.69,-0.87,-0.41,-1.56,0.99,1
1.00,-0.61,-0.90,-0.79,-1.03,-0.79,-1.30,0.79,1
1.00,-0.61,-1.10,-0.43,-1.03,-0.71,-3.01,-0.12,1
1.00,-0.65,-1.11,-0.66,-1.15,-0.56,-3.82,-0.13,1
1.00,-0.46,-0.96,-0.55,-1.01,-0.47,-1.98,0.86,1
1.00,-0.43,-1.19,-0.73,-1.10,-0.61,-2.84,1.10,1
1.00,-0.47,-1.04,-0.78,-1.13,-0.72,-4.29,0.10,1
1.00,-0.70,-1.15,-0.52,-0.94,-0.57,-2.74,1.23,1
1.00,-0.67,-1.12,-0.42,-0.99,-0.56,-4.17,0.72,1
1.00,-0.53,-0.89,-0.43,-1.12,-0.41,-2.39,0.48,1
1.00,-0.45,-1.17,-0.52,-0.89,-0.55,-2.63,0.90,1
1.00,-0.58,-1.10,-0.53,-0.88,-0.50,-0.80,0.52,1
1.00,-0.59,-0.91,-0.61,-0.92,-0.62,-1.28,1.12,1
1.00,-0.67,-1.03,-0.47,-1.02,-0.77,-3.97,0.77,1
1.00,-0.66,-1.06,-0.62,-1.07,-0.54,-2.54,0.72,1
1.00,-0.48,-1.16,-0.46,-1.20,-0.65,-1.27,0.02,1
1.00,-0.56,-0.96,-0.47,-1.12,-0.70,-1.59,-0.13,1
1.00,-0.59,-1.11,-0.49,-1.03,-0.53,-2.58,0.39,1
1.00,-0.59,-1.17,-0.66,-1.04,-0.47,-0.82,0.85,1
1.00,-0.74,-1.02,-0.66,-1.08,-0.43,-3.90,0.12,1
1.00,-0.66,-0.87,-0.48,-0.98,-0.63,-4.28,0.96,1
1.00,-0.65,-1.01,-0.45,-1.18,-0.60,-2.18,0.62,1
1.00,-0.60,-1.14,-0.43,-1.11,-0.59,-3.77,0.44,1
1.00,-0.46,-0.93,-0.61,-0.92,-0.71,-1.37,0.48,1
1.00,-0.54,-0.89,-0.69,-1.06,-0.67,-4.26,0.44,1
1.00,-0.44,-1.08,-0.57,-1.11,-0.56,-4.21,0.28,1
1.00,-0.57,-0.95,-0.44,-1.15,-0.40,-2.83,0.00,1
1.00,-0.57,-0.91,-0.42,-1.09,-0.44,-1.11,1.01,1
1.00,-0.70,-1.15,-0.46,-1.17,-0.48,-1.29,0.99,1
1.00,-0.76,-1.16,-0.76,-0.90,-0.62,-0.88,1.07,1
1.00,-0.72,-1.09,-0.44,-1.00,-0.66,-0.91,0.74,1
1.00,-0.60,-1.04,-0.56,-1.02,-0.49,-2.58,1.19,1
1.00,-0.51,-1.01,-0.45,-1.00,-0.47,-1.22,0.96,1
1.00,-0.50,-1.01,-0.64,-0.97,-0.55,-4.47,0.11,1
1.00,-0.79,-0.97,-0.63,-1.12,-0.53,-0.91,0.11,1
1.00,-0.41,-1.11,-0.61,-0.86,-0.52,-3.19,1.14,1
1.00,-0.43,-0.94,-0.80,-0.99,-0.42,-3.09,0.08,1
1.00,-0.74,-0.98,-0.57,-0.89,-0.65,-3.48,1.15,1
1.00,-0.43,-0.86,-0.79,-0.99,-0.60,-3.69,0.90,1
1.00,-0.53,-1.10,-0.41,-1.01,-0.58,-2.90,0.83,1
1.00,-0.50,-1.15,-0.76,-1.06,-0.45,-1.36,0.03,1
1.00,-0.73,-1.05,-0.80,-0.90,-0.69,-2.54,1.26,1
1.00,-0.61,-1.13,-0.76,-1.00,-0.56,-1.07,-0.05,1
1.00,-0.59,-1.01,-0.58,-0.86,-0.52,-1.39,0.94,1
1.00,-0.72,-0.87,-0.55,-0.92,-0.53,-2.29,0.10,1
1.00,-0.58,-1.19,-0.61,-0.99,-0.46,-2.20,0.43,1
1.00,-0.76,-1.09,-0.49,-1.09,-0.70,-1.20,0.34,1
1.00,-0.57,-1.06,-0.78,-0.97,-0.60,-3.13,0.71,1
1.00,-0.64,-1.18,-0.63,-1.08,-0.54,-4.44,0.80,1
1.00,-0.59,-0.96,-0.60,-1.01,-0.61,-2.62,1.15,1
1.00,-0.45,-1.04,-0.64,-0.88,-0.58,-2.89,0.36,1
1.00,-0.67,-0.96,-0.47,-1.14,-0.65,-1.57,1.27,1
1.00,-0.56,-1.00,-0.48,-1.17,-0.76,-4.28,0.91,1
1.00,-0.50,-0.88,-0.68,-0.85,-0.43,-2.17,-0.13,1
1.00,-0.70,-0.87,-0.57,-1.03,-0.76,-3.00,1.19,1
1.00,-0.43,-1.16,-0.53,-1.07,-0.53,-4.45,-0.14,1
1.00,-0.74,-1.02,-0.77,-1.18,-0.64,-2.83,-0.07,1
1.00,-0.56,-0.99,-0.72,-1.06,-0.42,-3.38,0.78,1
1.00,-0.73,-1.10,-0.52,-0.99,-0.71,-0.90,0.84,1
1.00,-0.44,-0.93,-0.50,-1.13,-0.54,-2.29,0.84,1
1.00,-0.51,-1.11,-0.73,-0.96,-0.73,-4.35,0.78,1
1.00,-0.47,-1.03,-0.69,-1.09,-0.75,-2.40,0.39,1
1.00,-0.76,-0.92,-0.54,-0.91,-0.58,-2.62,1.19,1
1.00,-0.69,-1.18,-0.75,-1.12,-0.77,-1.08,0.72,1
1.00,-0.65,-0.88,-0.60,-0.93,-0.67,-2.87,0.30,1
1.00,-0.74,-1.13,-0.47,-0.94,-0.51,-4.34,0.17,1
1.00,-0.62,-0.87,-0.65,-1.04,-0.63,-4.24,0.21,1
1.00,-0.62,-0.85,-0.75,-0.98,-0.72,-1.50,0.61,1
1.00,-0.68,-0.87,-0.61,-1.05,-0.79,-1.28,0.05,1
1.00,-0.54,-1.08,-0.63,-1.03,-0.45,-2.58,1.03,1
1.00,-0.63,-0.87,-0.72,-0.87,-0.75,-2.63,0.86,1
1.00,-0.65,-1.02,-0.40,-1.02,-0.66,-2.58,0.35,1
1.00,-0.62,-1.04,-0.41,-0.89,-0.41,-2.10,-0.09,1
1.00,-0.69,-1.05,-0.59,-0.90,-0.54,-3.23,0.73,1
1.00,-0.53,-0.92,-0.73,-1.18,-0.64,-4.42,0.19,1
1.00,-0.77,-1.17,-0.51,-1.11,-0.60,-1.12,1.06,1
1.00,-0.64,-0.88,-0.55,-1.06,-0.68,-3.37,0.77,1
1.00,-0.80,-0.90,-0.65,-1.02,-0.52,-3.68,0.81,1
1.00,-0.60,-0.95,-0.61,-1.06,-0.46,-2.39,1.03,1
1.00,-0.62,-0.98,-0.73,-1.02,-0.53,-4.46,0.45,1
1.00,-0.78,-0.94,-0.57,-0.87,-0.63,-1.80,1.10,1
1.00,-0.62,-1.15,-0.51,-1.02,-0.53,-1.85,0.22,1
1.00,-0.65,-1.15,-0.65,-1.04,-0.57,-0.86,0.69,1
1.00,-0.63,-0.87,-0.59,-0.90,-0.46,-3.63,0.42,1
1.00,-0.77,-1.02,-0.50,-1.08,-0.61,-4.41,0.86,1
1.00,-0.61,-1.17,-0.44,-1.15,-0.65,-2.81,0.90,1
1.00,-0.76,-1.08,-0.60,-1.15,-0.61,-4.44,1.04,1
1.00,-0.64,-1.06,-0.52,-1.15,-0.55,-2.54,0.33,1
1.00,-0.69,-0.97,-0.56,-1.05,-0.52,-4.33,0.71,1
1.00,-0.72,-1.07,-0.65,-1.07,-0.49,-3.58,0.15,1
1.00,-0.50,-1.10,-0.41,-1.18,-0.64,-0.81,0.49,1
1.00,-0.77,-1.18,-0.69,-0.91,-0.52,-1.24,0.92,1
1.00,-0.44,-1.01,-0.40,-1.12,-0.58,-2.21,0.86,1
1.00,-0.76,-1.06,-0.65,-1.02,-0.49,-3.87,0.34,1
1.00,-0.67,-1.09,-0.41,-1.16,-0.69,-1.78,0.56,1
1.00,-0.50,-0.93,-0.60,-1.17,-0.47,-1.27,0.87,1
1.00,-0.46,-1.13,-0.43,-1.04,-0.79,-2.32,0.21,1
1.00,-0.51,-1.10,-0.57,-0.99,-0.51,-3.55,0.44,1
1.00,-0.71,-0.90,-0.66,-0.98,-0.79,-1.91,0.40,1
1.00,-0.74,-1.12,-0.51,-0.97,-0.61,-1.80,-0.05,1
1.00,-0.46,-1.02,-0.72,-0.89,-0.53,-1.88,0.84,1
1.00,-0.66,-1.17,-0.52,-1.04,-0.62,-1.99,0.27,1
1.00,-0.69,-1.02,-0.60,-0.92,-0.66,-3.62,-0.04,1
1.00,-0.50,-1.00,-0.77,-1.10,-0.55,-2.37,0.37,1
1.00,-0.62,-0.87,-0.77,-1.03,-0.52,-3.56,-0.09,1
1.00,-0.43,-1.10,-0.70,-1.11,-0.45,-0.92,0.32,1
1.00,-0.44,-1.17,-0.60,-1.18,-0.52,-1.40,0.02,1
1.00,-0.48,-1.11,-0.52,-1.15,-0.60,-1.40,-0.08,1
1.00,-0.63,-1.16,-0.75,-1.16,-0.58,-4.41,0.45,1
1.00,-0.76,-0.99,-0.46,-1.20,-0.51,-2.11,0.12,1
1.00,-0.44,-1.12,-0.47,-1.09,-0.64,-1.06,0.17,1
1.00,-0.51,-0.88,-0.47,-1.01,-0.63,-3.38,0.90,1
1.00,-0.51,-0.89,-0.73,-0.95,-0.74,-4.49,1.16,1
1.00,-0.54,-1.09,-0.64,-1.15,-0.63,-2.70,0.06,1
1.00,-0.75,-0.86,-0.78,-1.05,-0.57,-1.48,0.27,1
1.00,-0.70,-0.90,-0.58,-1.12,-0.74,-1.39,0.07,1
1.00,-0.71,-1.11,-0.67,-1.00,-0.79,-2.36,0.67,1
1.00,-0.65,-1.01,-0.54,-0.86,-0.77,-1.95,0.31,1
1.00,-0.73,-0.97,-0.67,-0.96,-0.52,-2.28,0.49,1
1.00,-0.50,-0.91,-0.62,-0.87,-0.70,-1.85,1.05,1
1.00,-0.51,-1.13,-0.60,-0.93,-0.77,-2.12,0.29,1
1.00,-0.72,-0.92,-0.68,-1.13,-0.49,-2.31,-0.13,1
1.00,-0.44,-1.17,-0.76,-1.14,-0.77,-1.18,0.88,1
1.00,-0.42,-1.10,-0.42,-0.90,-0.55,-3.85,0.29,1
1.00,-0.72,-1.19,-0.43,-1.15,-0.55,-3.39,0.71,1
1.00,-0.41,-1.15,-0.71,-0.87,-0.70,-1.63,-0.14,1
1.00,-0.52,-1.02,-0.66,-0.88,-0.51,-3.57,0.37,1
1.00,-0.61,-1.16,-0.59,-0.95,-0.70,-3.33,0.08,1
1.00,-0.54,-1.08,-0.46,-0.94,-0.64,-3.74,0.17,1
1.00,-0.66,-1.08,-0.54,-0.93,-0.43,-4.14,0.05,1
1.00,-0.66,-0.99,-0.50,-1.05,-0.44,-1.57,1.21,1
1.00,-0.77,-1.00,-0.41,-1.01,-0.50,-3.74,1.28,1
1.00,-0.63,-1.18,-0.68,-0.98,-0.66,-1.85,0.92,1
1.00,-0.59,-1.17,-0.74,-0.95,-0.40,-1.51,1.22,1
1.00,-0.41,-1.08,-0.57,-0.86,-0.63,-1.75,0.00,1
1.00,-0.75,-1.05,-0.59,-1.12,-0.78,-1.01,0.25,1
1.00,-0.61,-1.19,-0.50,-0.92,-0.56,-3.88,0.89,1
1.00,-0.66,-0.98,-0.71,-0.86,-0.75,-1.54,0.93,1
1.00,-0.72,-1.19,-0.57,-0.98,-0.60,-1.74,0.16,1
1.00,-0.52,-1.09,-0.42,-1.09,-0.50,-2.34,-0.05,1
1.00,-0.45,-1.04,-0.79,-0.99,-0.77,-2.35,0.06,1
1.00,-0.56,-0.86,-0.71,-1.18,-0.50,-4.39,0.05,1
1.00,-0.64,-1.10,-0.68,-1.06,-0.68,-1.26,0.74,1
1.00,-0.61,-1.16,-0.57,-1.15,-0.62,-1.20,-0.07,1
1.00,-0.65,-1.07,-0.77,-0.97,-0.56,-4.49,0.38,1
1.00,-0.55,-1.07,-0.43,-1.00,-0.62,-3.27,0.15,1
1.00,-0.58,-1.17,-0.42,-1.01,-0.62,-3.10,-0.08,1
1.00,-0.70,-0.88,-0.59,-1.10,-0.69,-2.88,1.30,1
1.00,-0.53,-1.19,-0.55,-1.01,-0.42,-2.52,0.09,1
1.00,-0.55,-1.04,-0.54,-0.87,-0.68,-3.87,0.24,1
1.00,-0.55,-1.10,-0.73,-0.94,-0.47,-1.21,0.81,1
1.00,-0.70,-0.87,-0.44,-0.98,-0.74,-1.25,0.90,1
1.00,-0.70,-1.13,-0.45,-1.12,-0.74,-1.57,0.54,1
1.00,-0.56,-0.98,-0.72,-1.05,-0.77,-3.14,0.95,1
1.00,-0.53,-0.96,-0.64,-1.11,-0.61,-1.31,-0.10,1
1.00,-0.41,-1.04,-0.46,-0.87,-0.58,-3.76,0.00,1
1.00,-0.77,-1.06,-0.77,-1.07,-0.43,-3.85,0.08,1
1.00,-0.48,-1.10,-0.49,-0.94,-0.59,-2.90,0.96,1
1.00,-0.63,-1.02,-0.72,-1.01,-0.52,-2.65,1.13,1
1.00,-0.44,-0.95,-0.62,-0.91,-0.55,-3.56,0.28,1
1.00,-0.79,-1.16,-0.70,-0.98,-0.58,-1.15,1.23,1
1.00,-0.71,-0.87,-0.40,-0.95,-0.45,-4.48,0.86,1
1.00,-0.72,-0.86,-0.42,-1.10,-0.69,-3.75,0.79,1
1.00,-0.55,-1.03,-0.79,-1.17,-0.55,-3.82,0.16,1
1.00,-0.55,-1.00,-0.73,-0.93,-0.67,-3.96,0.62,1
1.00,-0.54,-1.08,-0.47,-1.10,-0.49,-1.69,1.12,1
1.00,-0.50,-1.16,-0.52,-1.01,-0.42,-0.93,0.08,1
1.00,-0.72,-1.15,-0.55,-1.18,-0.79,-3.53,1.16,1
1.00,-0.78,-1.16,-0.54,-1.04,-0.72,-0.91,0.04,1
1.00,-0.67,-0.90,-0.47,-0.90,-0.56,-3.29,-0.13,1
1.00,-0.68,-1.05,-0.64,-1.12,-0.75,-1.83,0.09,1
1.00,-0.60,-1.05,-0.43,-0.91,-0.63,-3.75,1.06,1
1.00,-0.55,-0.87,-0.70,-0.91,-0.77,-4.12,0.87,1
1.00,-0.66,-0.95,-0.71,-1.04,-0.76,-0.80,0.41,1
1.00,-0.62,-1.20,-0.57,-1.18,-0.74,-1.59,-0.03,1
1.00,-0.45,-1.05,-0.50,-1.11,-0.40,-3.76,0.09,1
1.00,-0.77,-1.02,-0.41,-1.05,-0.40,-2.24,-0.14,1
1.00,-0.70,-0.93,-0.48,-1.08,-0.64,-3.04,0.86,1
1.00,-0.54,-0.97,-0.73,-0.90,-0.54,-0.85,1.14,1
1.00,-0.50,-0.86,-0.74,-1.11,-0.51,-1.29,0.49,1
1.00,-0.45,-1.02,-0.68,-0.96,-0.53,-1.96,0.29,1
1.00,-0.68,-1.03,-0.64,-0.92,-0.44,-1.24,1.23,1
1.00,-0.59,-0.85,-0.71,-0.91,-0.42,-4.45,0.40,1
1.00,-0.78,-0.88,-0.48,-1.10,-0.55,-1.69,0.90,1
1.00,-0.60,-0.91,-0.61,-1.04,-0.43,-1.76,0.80,1
1.00,-0.41,-1.04,-0.54,-0.92,-0.80,-3.66,0.30,1
1.00,-0.69,-0.97,-0.62,-0.92,-0.78,-1.60,0.34,1
1.00,-0.63,-1.03,-0.76,-1.05,-0.76,-3.29,1.09,1
1.00,-0.40,-1.16,-0.65,-1.17,-0.50,-1.40,1.01,1
1.00,-0.50,-1.13,-0.68,-0.93,-0.67,-1.10,-0.01,1
1.00,-0.63,-0.95,-0.47,-0.87,-0.79,-3.25,0.59,1
1.00,-0.59,-1.02,-0.58,-0.87,-0.77,-0.84,0.39,1
1.00,-0.77,-1.01,-0.46,-0.96,-0.68,-3.34,0.97,1
1.00,-0.51,-0.95,-0.52,-1.02,-0.64,-2.65,0.68,1
1.00,-0.67,-1.07,-0.51,-1.18,-0.43,-1.11,0.00,1
1.00,-0.58,-1.11,-0.47,-0.86,-0.76,-2.28,0.73,1
1.00,-0.77,-0.87,-0.69,-0.94,-0.43,-4.14,0.24,1
1.00,-0.51,-0.86,-0.44,-1.01,-0.52,-2.03,0.34,1
1.00,-0.64,-1.03,-0.47,-1.05,-0.58,-3.20,1.11,1
1.00,-0.40,-1.17,-0.76,-1.13,-0.67,-2.45,0.69,1
1.00,-0.44,-1.14,-0.54,-1.13,-0.69,-1.25,0.77,1
1.00,-0.80,-1.13,-0.47,-1.17,-0.43,-4.47,1.21,1
1.00,-0.47,-0.98,-0.69,-1.02,-0.61,-1.29,0.61,1
1.00,-0.58,-1.05,-0.71,-1.00,-0.58,-1.57,0.99,1
1.00,-0.61,-1.09,-0.55,-1.18,-0.47,-1.76,0.07,1
1.00,-0.64,-1.17,-0.65,-1.00,-0.51,-0.93,-0.06,1
1.00,-0.49,-1.07,-0.79,-1.02,-0.58,-1.92,0.16,1
1.00,-0.48,-1.13,-0.53,-0.92,-0.63,-3.43,0.18,1
1.00,-0.50,-0.90,-0.57,-1.01,-0.50,-3.29,1.15,1
1.00,-0.71,-0.97,-0.54,-1.02,-0.69,-3.93,0.52,1
1.00,-0.56,-1.00,-0.64,-1.13,-0.52,-2.06,0.43,1
1.00,-0.55,-1.12,-0.59,-0.90,-0.80,-1.64,1.03,1
1.00,-0.48,-0.87,-0.49,-0.94,-0.52,-1.32,-0.07,1
1.00,-0.62,-0.90,-0.42,-1.11,-0.73,-4.34,-0.09,1
1.00,-0.72,-1.07,-0.66,-1.11,-0.63,-4.46,0.28,1
1.00,-0.50,-1.04,-0.54,-1.12,-0.79,-3.62,1.22,1
1.00,-0.43,-1.03,-0.77,-1.15,-0.48,-2.13,-0.11,1
1.00,-0.52,-1.09,-0.62,-1.08,-0.59,-0.88,0.59,1
1.00,-0.45,-1.11,-0.61,-1.18,-0.60,-2.94,0.33,1
1.00,-0.56,-0.95,-0.42,-1.02,-0.43,-3.83,0.00,1
1.00,-0.59,-0.91,-0.70,-1.07,-0.75,-1.77,-0.07,1
1.00,-0.65,-1.18,-0.65,-1.14,-0.56,-2.04,0.92,1
1.00,-0.47,-1.09,-0.66,-1.11,-0.42,-1.38,1.12,1
1.00,-0.77,-1.08,-0.51,-1.04,-0.42,-2.14,0.29,1
1.00,-0.41,-1.12,-0.45,-1.17,-0.66,-2.36,0.38,1
1.00,-0.57,-0.96,-0.53,-0.96,-0.57,-2.62,-0.11,1
1.00,-0.50,-1.03,-0.79,-0.88,-0.59,-2.61,0.55,1
1.00,-0.42,-0.97,-0.49,-0.89,-0.52,-1.49,0.65,1
1.00,-0.44,-0.97,-0.44,-1.01,-0.49,-3.80,-0.08,1
1.00,-0.51,-0.87,-0.58,-1.11,-0.50,-1.95,1.00,1
1.00,-0.43,-1.10,-0.80,-0.92,-0.53,-0.95,0.57,1
1.00,-0.47,-0.86,-0.58,-0.96,-0.69,-2.54,0.96,1
1.00,-0.62,-1.03,-0.43,-1.13,-0.64,-2.32,1.25,1
1.00,-0.53,-0.97,-0.47,-0.90,-0.70,-2.90,0.41,1
1.00,-0.44,-1.12,-0.51,-0.92,-0.57,-3.78,1.02,1
1.00,-0.55,-1.18,-0.72,-1.14,-0.42,-1.82,0.36,1
1.00,-0.46,-1.12,-0.68,-1.03,-0.59,-2.09,-0.14,1
1.00,-0.65,-1.12,-0.42,-1.05,-0.65,-1.97,0.36,1
1.00,-0.56,-0.97,-0.64,-0.99,-0.60,-1.77,0.93,1
1.00,-0.51,-1.14,-0.42,-1.12,-0.73,-4.47,0.10,1
