Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
1.00,-0.41,-1.15,-0.54,-0.99,-0.73,-1.94,0.16,1,0,0
1.00,-0.56,-0.85,-0.63,-1.11,-0.57,-2.07,0.72,1,0,0
1.00,-0.48,-0.93,-0.70,-1.11,-0.52,-2.93,0.46,1,0,0
1.00,-0.70,-0.98,-0.76,-1.11,-0.75,-3.64,-0.05,1,0,0
1.00,-0.48,-1.07,-0.58,-1.09,-0.49,-1.12,0.28,1,0,0
1.00,-0.73,-1.15,-0.72,-0.90,-0.41,-1.40,1.26,1,0,0
1.00,-0.61,-1.14,-0.71,-0.96,-0.44,-1.76,0.33,1,0,0
1.00,-0.57,-1.15,-0.51,-1.06,-0.73,-2.25,-0.09,1,0,0
1.00,-0.41,-1.07,-0.56,-0.87,-0.44,-3.49,0.47,1,0,0
1.00,-0.58,-1.12,-0.52,-1.05,-0.65,-3.14,0.23,1,0,0
1.00,-0.45,-1.20,-0.72,-0.88,-0.72,-3.18,0.03,1,0,0
1.00,-0.50,-0.98,-0.65,-0.98,-0.64,-2.35,0.91,1,0,0
1.00,-0.58,-1.20,-0.67,-0.98,-0.61,-3.61,0.71,1,0,0
1.00,-0.79,-1.06,-0.74,-1.11,-0.72,-4.12,0.64,1,0,0
1.00,-0.48,-1.03,-0.73,-0.99,-0.53,-1.82,0.83,1,0,0
1.00,-0.46,-1.09,-0.60,-1.09,-0.73,-1.01,0.76,1,0,0
1.00,-0.70,-0.88,-0.77,-1.02,-0.57,-2.74,1.22,1,0,0
1.00,-0.75,-0.89,-0.54,-1.11,-0.67,-2.90,0.43,1,0,0
1.00,-0.69,-0.89,-0.57,-0.96,-0.64,-1.34,0.34,1,0,0
1.00,-0.74,-1.19,-0.41,-1.16,-0.73,-4.22,0.17,1,0,0
1.00,-0.59,-1.00,-0.61,-1.16,-0.46,-2.58,1.11,1,0,0
1.00,-0.49,-1.20,-0.41,-0.94,-0.75,-1.70,0.11,1,0,0
1.00,-0.66,-0.88,-0.63,-0.91,-0.62,-2.54,0.59,1,0,0
1.00,-0.77,-1.16,-0.57,-1.04,-0.59,-3.88,0.59,1,0,0
1.00,-0.58,-0.91,-0.51,-1.01,-0.44,-3.67,0.69,1,0,0
1.00,-0.42,-1.15,-0.77,-0.93,-0.79,-2.02,0.97,1,0,0
1.00,-0.74,-0.98,-0.51,-1.12,-0.62,-4.43,0.71,1,0,0
1.00,-0.58,-1.09,-0.69,-1.14,-0.65,-2.82,0.89,1,0,0
1.00,-0.61,-1.11,-0.53,-0.92,-0.63,-3.35,0.44,1,0,0
1.00,-0.74,-1.03,-0.77,-1.04,-0.78,-4.35,0.31,1,0,0
1.00,-0.51,-1.01,-0.62,-0.87,-0.41,-3.32,1.17,1,0,0
1.00,-0.59,-1.14,-0.69,-0.99,-0.49,-3.22,1.09,1,0,0
1.00,-0.55,-1.18,-0.42,-0.87,-0.59,-3.78,0.59,1,0,0
1.00,-0.45,-1.06,-0.64,-0.95,-0.45,-1.65,1.17,1,0,0
1.00,-0.76,-1.17,-0.46,-0.92,-0.68,-1.74,-0.07,1,0,0
1.00,-0.41,-0.86,-0.49,-1.16,-0.53,-2.57,1.07,1,0,0
1.00,-0.59,-1.01,-0.40,-1.16,-0.43,-4.05,0.62,1,0,0
1.00,-0.54,-0.91,-0.74,-1.18,-0.61,-4.26,0.17,1,0,0
1.00,-0.43,-0.91,-0.69,-0.97,-0.57,-1.24,-0.01,1,0,0
1.00,-0.76,-1.02,-0.44,-0.87,-0.78,-3.94,1.21,1,0,0
1.00,-0.70,-0.97,-0.64,-0.98,-0.63,-2.53,0.65,1,0,0
1.00,-0.79,-1.15,-0.65,-0.98,-0.71,-3.03,0.03,1,0,0
1.00,-0.71,-1.04,-0.52,-1.00,-0.47,-2.00,0.80,1,0,0
1.00,-0.52,-0.88,-0.40,-0.99,-0.56,-3.65,0.95,1,0,0
1.00,-0.64,-1.13,-0.52,-0.94,-0.68,-2.88,0.32,1,0,0
1.00,-0.77,-0.89,-0.77,-1.06,-0.58,-1.37,1.19,1,0,0
1.00,-0.64,-0.87,-0.58,-1.04,-0.60,-1.45,0.35,1,0,0
1.00,-0.46,-1.20,-0.65,-0.88,-0.66,-2.54,0.98,1,0,0
1.00,-0.68,-1.07,-0.63,-0.92,-0.70,-2.18,0.83,1,0,0
1.00,-0.45,-0.90,-0.56,-1.13,-0.48,-2.96,0.50,1,0,0
1.00,-0.76,-0.91,-0.71,-0.90,-0.61,-3.32,0.34,1,0,0
1.00,-0.43,-1.05,-0.57,-1.17,-0.58,-4.00,0.39,1,0,0
1.00,-0.64,-1.20,-0.59,-0.98,-0.56,-2.99,1.21,1,0,0
1.00,-0.46,-1.15,-0.62,-1.11,-0.50,-4.33,0.38,1,0,0
1.00,-0.58,-0.90,-0.72,-0.95,-0.62,-2.45,0.54,1,0,0
1.00,-0.67,-0.90,-0.50,-1.14,-0.50,-2.14,0.56,1,0,0
1.00,-0.64,-1.14,-0.43,-1.10,-0.50,-2.06,1.13,1,0,0
1.00,-0.62,-1.11,-0.41,-1.07,-0.79,-2.84,0.24,1,0,0
1.00,-0.49,-1.07,-0.62,-1.11,-0.41,-4.10,1.14,1,0,0
1.00,-0.54,-1.16,-0.52,-0.93,-0.68,-4.49,1.20,1,0,0
1.00,-0.45,-1.02,-0.67,-1.17,-0.47,-4.48,1.01,1,0,0
1.00,-0.58,-0.88,-0.41,-1.15,-0.65,-2.04,0.95,1,0,0
1.00,-0.62,-0.89,-0.59,-0.97,-0.60,-1.06,0.37,1,0,0
1.00,-0.72,-1.02,-0.46,-0.98,-0.53,-1.31,0.88,1,0,0
1.00,-0.64,-1.17,-0.58,-0.92,-0.48,-1.05,0.10,1,0,0
1.00,-0.68,-1.04,-0.60,-1.10,-0.75,-4.10,0.69,1,0,0
1.00,-0.50,-1.03,-0.62,-0.95,-0.74,-2.79,0.99,1,0,0
1.00,-0.51,-1.12,-0.59,-1.07,-0.66,-2.64,0.50,1,0,0
1.00,-0.55,-1.01,-0.55,-1.16,-0.56,-1.31,0.46,1,0,0
1.00,-0.44,-0.99,-0.68,-1.10,-0.43,-3.51,1.27,1,0,0
1.00,-0.56,-0.94,-0.75,-0.92,-0.42,-1.43,-0.06,1,0,0
1.00,-0.65,-1.07,-0.61,-0.93,-0.50,-4.44,0.93,1,0,0
1.00,-0.65,-1.16,-0.42,-1.07,-0.49,-3.53,0.09,1,0,0
1.00,-0.56,-1.11,-0.73,-0.89,-0.62,-2.11,1.18,1,0,0
1.00,-0.66,-0.86,-0.57,-0.94,-0.59,-3.73,1.23,1,0,0
1.00,-0.70,-1.17,-0.79,-1.03,-0.41,-3.53,0.89,1,0,0
1.00,-0.73,-1.17,-0.51,-0.98,-0.72,-4.24,0.72,1,0,0
1.00,-0.62,-0.91,-0.47,-1.01,-0.51,-2.68,0.48,1,0,0
1.00,-0.69,-1.16,-0.44,-0.90,-0.67,-4.36,0.91,1,0,0
1.00,-0.44,-1.00,-0.66,-1.00,-0.70,-4.26,0.11,1,0,0
1.00,-0.61,-1.14,-0.41,-1.09,-0.66,-1.18,0.49,1,0,0
1.00,-0.56,-1.15,-0.51,-1.12,-0.42,-1.38,0.56,1,0,0
1.00,-0.52,-0.93,-0.47,-1.01,-0.51,-1.28,0.52,1,0,0
1.00,-0.47,-1.04,-0.54,-1.00,-0.55,-2.00,1.11,1,0,0
1.00,-0.78,-1.17,-0.48,-0.97,-0.52,-2.01,0.23,1,0,0
1.00,-0.55,-1.06,-0.70,-0.98,-0.74,-1.17,1.08,1,0,0
1.00,-0.78,-1.02,-0.77,-1.05,-0.56,-3.86,0.15,1,0,0
1.00,-0.65,-1.06,-0.58,-1.08,-0.68,-4.49,0.05,1,0,0
1.00,-0.63,-1.07,-0.74,-1.19,-0.48,-1.71,1.17,1,0,0
1.00,-0.63,-1.13,-0.62,-1.16,-0.44,-3.10,-0.02,1,0,0
1.00,-0.48,-1.03,-0.77,-1.00,-0.76,-1.90,0.58,1,0,0
1.00,-0.68,-0.99,-0.58,-0.96,-0.69,-3.50,0.80,1,0,0
1.00,-0.62,-0.87,-0.71,-0.87,-0.51,-2.15,0.10,1,0,0
1.00,-0.53,-1.07,-0.44,-1.00,-0.63,-2.88,0.97,1,0,0
1.00,-0.54,-1.11,-0.47,-0.95,-0.78,-2.40,1.30,1,0,0
1.00,-0.60,-1.15,-0.78,-0.92,-0.43,-1.97,0.65,1,0,0
1.00,-0.48,-1.11,-0.40,-0.94,-0.55,-1.02,0.74,1,0,0
1.00,-0.63,-1.03,-0.54,-1.06,-0.58,-4.39,0.90,1,0,0
1.00,-0.42,-1.12,-0.47,-0.86,-0.42,-2.71,0.17,1,0,0
1.00,-0.71,-0.99,-0.73,-1.03,-0.46,-2.44,-0.11,1,0,0
1.00,-0.47,-1.14,-0.54,-0.99,-0.70,-2.69,0.28,1,0,0
1.00,-0.49,-0.89,-0.44,-1.16,-0.40,-4.32,1.19,1,0,0
1.00,-0.79,-1.10,-0.42,-0.87,-0.65,-3.33,0.04,1,0,0
1.00,-0.78,-0.91,-0.46,-1.14,-0.54,-1.78,1.16,1,0,0
1.00,-0.80,-1.05,-0.54,-1.06,-0.48,-1.35,1.00,1,0,0
1.00,-0.70,-0.99,-0.76,-1.02,-0.41,-3.05,0.10,1,0,0
1.00,-0.56,-1.05,-0.54,-0.94,-0.62,-2.97,0.04,1,0,0
1.00,-0.51,-0.98,-0.42,-1.16,-0.41,-2.30,0.76,1,0,0
1.00,-0.59,-1.17,-0.44,-0.92,-0.80,-4.49,0.73,1,0,0
1.00,-0.65,-1.08,-0.59,-0.88,-0.54,-3.65,0.59,1,0,0
1.00,-0.64,-1.08,-0.70,-0.94,-0.67,-1.10,1.29,1,0,0
1.00,-0.53,-1.05,-0.61,-1.01,-0.53,-1.17,0.57,1,0,0
1.00,-0.48,-0.87,-0.68,-1.07,-0.73,-3.32,0.16,1,0,0
1.00,-0.79,-0.93,-0.54,-1.16,-0.67,-4.41,0.98,1,0,0
1.00,-0.60,-0.85,-0.44,-0.92,-0.76,-1.95,0.38,1,0,0
1.00,-0.76,-1.07,-0.50,-1.09,-0.74,-1.74,0.22,1,0,0
1.00,-0.73,-0.98,-0.48,-1.09,-0.67,-2.65,0.44,1,0,0
1.00,-0.60,-1.09,-0.45,-1.09,-0.42,-2.41,0.08,1,0,0
1.00,-0.51,-1.15,-0.59,-1.11,-0.52,-3.65,0.14,1,0,0
1.00,-0.48,-1.14,-0.73,-0.98,-0.58,-3.03,0.05,1,0,0
1.00,-0.79,-1.03,-0.74,-1.02,-0.49,-2.35,1.19,1,0,0
1.00,-0.70,-0.97,-0.74,-1.09,-0.57,-3.82,0.17,1,0,0
1.00,-0.53,-0.85,-0.64,-1.17,-0.78,-2.51,1.05,1,0,0
1.00,-0.46,-1.06,-0.55,-1.06,-0.54,-3.18,0.46,1,0,0
1.00,-0.50,-0.88,-0.77,-0.98,-0.64,-1.80,0.94,1,0,0
1.00,-0.46,-1.20,-0.67,-1.08,-0.40,-2.67,0.27,1,0,0
1.00,-0.51,-0.94,-0.76,-0.94,-0.75,-2.25,-0.10,1,0,0
1.00,-0.50,-0.92,-0.48,-0.85,-0.58,-3.97,0.95,1,0,0
1.00,-0.66,-0.93,-0.46,-0.94,-0.45,-4.25,-0.01,1,0,0
1.00,-0.68,-1.17,-0.49,-1.08,-0.77,-2.51,0.06,1,0,0
1.00,-0.58,-1.09,-0.67,-1.09,-0.78,-1.45,-0.05,1,0,0
1.00,-0.78,-1.05,-0.72,-0.85,-0.56,-3.37,0.75,1,0,0
1.00,-0.63,-0.91,-0.68,-0.86,-0.71,-3.07,0.30,1,0,0
1.00,-0.68,-1.17,-0.74,-1.20,-0.74,-1.16,0.97,1,0,0
1.00,-0.67,-1.17,-0.65,-1.14,-0.50,-2.53,0.03,1,0,0
1.00,-0.65,-0.96,-0.68,-0.99,-0.49,-0.99,0.48,1,0,0
1.00,-0.54,-1.06,-0.47,-1.10,-0.64,-3.54,0.67,1,0,0
1.00,-0.45,-1.06,-0.43,-0.85,-0.54,-2.46,1.01,1,0,0
1.00,-0.67,-1.10,-0.58,-1.08,-0.53,-2.69,0.57,1,0,0
1.00,-0.58,-0.94,-0.59,-1.07,-0.50,-2.04,1.14,1,0,0
1.00,-0.63,-0.90,-0.59,-1.00,-0.44,-1.96,1.08,1,0,0
1.00,-0.51,-0.93,-0.79,-1.11,-0.65,-3.51,0.45,1,0,0
1.00,-0.55,-0.89,-0.72,-0.87,-0.69,-4.32,0.23,1,0,0
1.00,-0.50,-1.09,-0.55,-1.04,-0.64,-4.42,0.93,1,0,0
1.00,-0.78,-1.10,-0.54,-1.11,-0.45,-3.98,0.02,1,0,0
1.00,-0.56,-0.96,-0.74,-0.87,-0.71,-2.95,0.07,1,0,0
1.00,-0.70,-1.12,-0.78,-1.19,-0.52,-2.82,0.00,1,0,0
1.00,-0.77,-1.09,-0.76,-0.95,-0.66,-0.92,0.86,1,0,0
1.00,-0.43,-0.93,-0.49,-1.02,-0.79,-2.24,0.17,1,0,0
1.00,-0.76,-0.87,-0.56,-0.86,-0.64,-2.89,0.68,1,0,0
1.00,-0.74,-1.09,-0.64,-0.99,-0.47,-1.56,0.71,1,0,0
1.00,-0.50,-0.88,-0.44,-1.06,-0.64,-3.06,0.62,1,0,0
1.00,-0.41,-1.16,-0.45,-1.19,-0.49,-0.98,1.08,1,0,0
1.00,-0.63,-1.06,-0.55,-1.15,-0.42,-1.73,-0.14,1,0,0
1.00,-0.52,-1.08,-0.45,-1.18,-0.54,-1.74,-0.14,1,0,0
1.00,-0.63,-1.18,-0.54,-1.09,-0.44,-1.79,0.44,1,0,0
1.00,-0.67,-1.03,-0.48,-0.99,-0.78,-1.89,0.35,1,0,0
1.00,-0.77,-0.98,-0.58,-1.19,-0.43,-3.47,1.05,1,0,0
1.00,-0.71,-0.97,-0.77,-1.05,-0.79,-2.61,0.79,1,0,0
1.00,-0.42,-0.98,-0.62,-1.08,-0.79,-4.23,0.44,1,0,0
1.00,-0.58,-1.20,-0.61,-0.95,-0.70,-3.35,1.26,1,0,0
1.00,-0.40,-1.04,-0.77,-1.03,-0.63,-3.26,0.20,1,0,0
1.00,-0.80,-1.07,-0.59,-1.19,-0.80,-1.00,0.33,1,0,0
1.00,-0.74,-0.98,-0.46,-1.00,-0.64,-3.36,0.90,1,0,0
1.00,-0.62,-1.03,-0.45,-0.98,-0.68,-2.45,1.12,1,0,0
1.00,-0.49,-0.97,-0.42,-1.19,-0.64,-1.52,0.91,1,0,0
1.00,-0.42,-1.00,-0.42,-1.16,-0.47,-3.57,0.99,1,0,0
1.00,-0.66,-0.97,-0.69,-0.91,-0.52,-4.07,0.70,1,0,0
1.00,-0.70,-1.10,-0.45,-0.90,-0.56,-1.17,1.21,1,0,0
1.00,-0.43,-0.91,-0.54,-0.98,-0.59,-1.58,0.00,1,0,0
1.00,-0.69,-0.88,-0.42,-1.17,-0.78,-3.53,0.27,1,0,0
1.00,-0.53,-1.00,-0.43,-1.19,-0.79,-3.79,1.17,1,0,0
1.00,-0.45,-0.89,-0.76,-1.06,-0.49,-3.28,0.19,1,0,0
1.00,-0.67,-0.92,-0.80,-0.98,-0.40,-2.75,1.07,1,0,0
1.00,-0.45,-1.16,-0.80,-1.20,-0.62,-1.83,0.10,1,0,0
1.00,-0.76,-0.98,-0.54,-1.08,-0.78,-1.43,1.26,1,0,0
1.00,-0.50,-1.01,-0.54,-0.91,-0.45,-3.55,1.04,1,0,0
1.00,-0.67,-1.07,-0.55,-0.95,-0.41,-1.51,0.02,1,0,0
1.00,-0.73,-1.00,-0.48,-0.94,-0.63,-1.51,0.57,1,0,0
1.00,-0.56,-1.02,-0.49,-0.95,-0.41,-3.28,0.90,1,0,0
1.00,-0.75,-1.13,-0.48,-0.87,-0.54,-4.48,0.42,1,0,0
1.00,-0.57,-0.87,-0.54,-1.07,-0.70,-1.67,0.79,1,0,0
1.00,-0.64,-0.98,-0.55,-1.03,-0.41,-2.88,0.30,1,0,0
1.00,-0.58,-0.85,-0.77,-0.91,-0.69,-1.44,0.53,1,0,0
1.00,-0.77,-0.87,-0.46,-0.98,-0.66,-2.95,0.13,1,0,0
1.00,-0.59,-0.87,-0.80,-1.09,-0.66,-3.16,0.23,1,0,0
1.00,-0.47,-1.19,-0.79,-1.09,-0.63,-1.22,1.16,1,0,0
1.00,-0.64,-1.13,-0.65,-0.87,-0.57,-4.09,0.19,1,0,0
1.00,-0.64,-1.08,-0.71,-1.19,-0.43,-3.88,0.62,1,0,0
1.00,-0.57,-1.14,-0.50,-1.18,-0.78,-3.37,0.09,1,0,0
1.00,-0.67,-0.92,-0.61,-1.02,-0.50,-2.11,0.80,1,0,0
1.00,-0.74,-0.97,-0.40,-1.00,-0.72,-1.88,1.28,1,0,0
1.00,-0.79,-1.06,-0.47,-1.03,-0.43,-3.03,0.00,1,0,0
1.00,-0.53,-1.09,-0.46,-0.93,-0.54,-3.99,0.17,1,0,0
1.00,-0.57,-0.92,-0.69,-1.01,-0.73,-3.21,1.00,1,0,0
1.00,-0.72,-1.19,-0.63,-1.14,-0.53,-4.45,0.01,1,0,0
1.00,-0.73,-1.16,-0.44,-1.17,-0.48,-2.69,0.50,1,0,0
1.00,-0.68,-1.05,-0.67,-0.86,-0.71,-4.37,0.15,1,0,0
1.00,-0.54,-0.86,-0.44,-0.98,-0.54,-3.71,-0.09,1,0,0
1.00,-0.59,-0.89,-0.58,-1.17,-0.58,-2.64,0.81,1,0,0
1.00,-0.41,-1.01,-0.42,-0.93,-0.46,-1.61,0.96,1,0,0
1.00,-0.67,-0.92,-0.68,-0.87,-0.65,-1.19,1.28,1,0,0
1.00,-0.61,-1.08,-0.78,-1.01,-0.54,-3.21,0.94,1,0,0
1.00,-0.73,-0.97,-0.76,-1.14,-0.66,-3.85,-0.11,1,0,0
1.00,-0.41,-1.03,-0.73,-0.98,-0.50,-3.30,0.36,1,0,0
1.00,-0.62,-0.89,-0.68,-0.95,-0.55,-3.50,0.77,1,0,0
1.00,-0.50,-1.19,-0.41,-1.02,-0.55,-1.18,0.90,1,0,0
1.00,-0.54,-0.85,-0.48,-0.87,-0.67,-3.78,0.08,1,0,0
1.00,-0.60,-1.16,-0.59,-1.02,-0.47,-1.06,-0.03,1,0,0
1.00,-0.49,-0.90,-0.43,-0.90,-0.60,-1.84,0.08,1,0,0
1.00,-0.71,-0.92,-0.47,-1.04,-0.53,-4.23,0.88,1,0,0
1.00,-0.51,-1.19,-0.74,-1.09,-0.64,-3.43,0.06,1,0,0
1.00,-0.41,-1.00,-0.69,-1.11,-0.66,-0.98,0.38,1,0,0
1.00,-0.72,-1.13,-0.66,-0.99,-0.50,-2.14,0.04,1,0,0
1.00,-0.72,-0.97,-0.79,-1.08,-0.61,-1.83,0.42,1,0,0
1.00,-0.65,-0.87,-0.46,-1.08,-0.64,-0.99,0.11,1,0,0
1.00,-0.78,-1.08,-0.41,-0.96,-0.43,-2.47,0.14,1,0,0
1.00,-0.68,-0.99,-0.42,-0.96,-0.75,-3.67,0.74,1,0,0
1.00,-0.65,-1.08,-0.40,-0.91,-0.75,-3.62,0.17,1,0,0
1.00,-0.69,-1.11,-0.72,-1.09,-0.53,-2.30,1.24,1,0,0
1.00,-0.69,-0.95,-0.44,-0.97,-0.72,-2.81,-0.08,1,0,0
1.00,-0.64,-0.86,-0.60,-1.17,-0.68,-3.77,0.19,1,0,0
1.00,-0.57,-1.14,-0.62,-1.11,-0.70,-3.20,0.54,1,0,0
1.00,-0.63,-1.05,-0.55,-1.08,-0.52,-1.28,0.58,1,0,0
1.00,-0.77,-0.88,-0.45,-0.95,-0.58,-2.25,0.72,1,0,0
